"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"65327","32180","Marshall, MO","EMMA",154,0.556 
"65329"," "," ","FLORENCE",363,1 
"65330","32180","Marshall, MO","GILLIAM",554,1 
"65332","42740","Sedalia, MO","GREEN RIDGE",1419,0.985 
"65332","47660","Warrensburg, MO","GREEN RIDGE",21,0.015 
"65333","32180","Marshall, MO","HOUSTONIA",125,0.147 
"65333","42740","Sedalia, MO","HOUSTONIA",728,0.853 
"65334","42740","Sedalia, MO","HUGHESVILLE",767,1 
"65335"," "," ","IONIA",182,0.641 
"65335","42740","Sedalia, MO","IONIA",102,0.359 
"65336","42740","Sedalia, MO","KNOB NOSTER",99,0.018 
"65336","47660","Warrensburg, MO","KNOB NOSTER",5346,0.982 
"65337","42740","Sedalia, MO","LA MONTE",1941,1 
"65338"," "," ","LINCOLN",2866,1 
"65339","32180","Marshall, MO","GRAND PASS",833,1 
"65340","32180","Marshall, MO","NAPTON",15478,0.993 
"65340","42740","Sedalia, MO","NAPTON",102,0.007 
"65344","32180","Marshall, MO","MIAMI",321,1 
"65345"," "," ","MORA",260,0.536 
"65345","42740","Sedalia, MO","MORA",225,0.464 
"65347"," "," ","NELSON",42,0.058 
"65347","32180","Marshall, MO","NELSON",581,0.805 
"65347","42740","Sedalia, MO","NELSON",99,0.137 
"65348"," "," ","OTTERVILLE",1393,0.99 
"65348","42740","Sedalia, MO","OTTERVILLE",14,0.01 
"65349","32180","Marshall, MO","SLATER",2737,1 
"65350"," "," ","SMITHTON",108,0.072 
"65350","42740","Sedalia, MO","SMITHTON",1382,0.928 
"65351","32180","Marshall, MO","SWEET SPRINGS",2445,0.935 
"65351","42740","Sedalia, MO","SWEET SPRINGS",160,0.061 
"65351","47660","Warrensburg, MO","SWEET SPRINGS",9,0.003 
"65354"," "," ","SYRACUSE",262,1 
"65355"," "," ","WARSAW",9140,1 
"65360"," "," ","WINDSOR",3926,0.831 
"65360","42740","Sedalia, MO","WINDSOR",501,0.106 
"65360","47660","Warrensburg, MO","WINDSOR",295,0.062 
"65401"," "," ","ROLLA",324,0.012 
"65401","40620","Rolla, MO","ROLLA",27301,0.988 
"65436","40620","Rolla, MO","BEULAH",108,1 
"65438"," "," ","BIRCH TREE",2968,1 
"65439"," "," ","BIXBY",310,1 
"65440"," "," ","BOSS",634,1 
"65441"," "," ","BOURBON",4370,0.965 
"65441","41180","St. Louis, MO-IL","BOURBON",159,0.035 
"65443"," "," ","BRINKTOWN",134,1 
"65444"," "," ","BUCYRUS",1054,1 
"65446"," "," ","CHERRYVILLE",376,1 
"65449"," "," ","COOK STATION",369,0.816 
"65449","40620","Rolla, MO","COOK STATION",83,0.184 
"65452"," "," ","CROCKER",135,0.046 
"65452","22780","Fort Leonard Wood, MO","CROCKER",2779,0.954 
"65453"," "," ","CUBA",7962,1 
"65456"," "," ","DAVISVILLE",619,1 
"65457","22780","Fort Leonard Wood, MO","DEVILS ELBOW",163,1 
"65459"," "," ","DIXON",1882,0.241 
"65459","22780","Fort Leonard Wood, MO","DIXON",5802,0.745 
"65459","40620","Rolla, MO","DIXON",109,0.014 
"65461","22780","Fort Leonard Wood, MO","DUKE",45,0.542 
"65461","40620","Rolla, MO","DUKE",38,0.458 
"65462"," "," ","EDGAR SPRINGS",137,0.103 
"65462","40620","Rolla, MO","EDGAR SPRINGS",1188,0.897 
"65463","30060","Lebanon, MO","ELDRIDGE",947,0.986 
"65463","44180","Springfield, MO","ELDRIDGE",13,0.014 
"65464"," "," ","ELK CREEK",412,1 
"65466"," "," ","EMINENCE",1621,1 
"65468"," "," ","EUNICE",35,1 
"65470"," "," ","FALCON",126,0.127 
"65470","30060","Lebanon, MO","FALCON",870,0.873 
"65473","22780","Fort Leonard Wood, MO","FORT LEONARD WOO",13666,1 
"65479"," "," ","HARTSHORN",342,1 
"65483"," "," ","HOUSTON",4636,1 
"65484"," "," ","HUGGINS",182,1 
"65486"," "," ","IBERIA",3049,1 
